Group,Subgroup,CodePoint,Status,Representation,Name,Section
Smileys-Emotion,face-smiling,1F600,fully-qualified,😀,grinning face,E1.0
Smileys-Emotion,face-smiling,1F603,fully-qualified,😃,grinning face with big eyes,E0.6
Smileys-Emotion,face-smiling,1F604,fully-qualified,😄,grinning face with smiling eyes,E0.6
Smileys-Emotion,face-smiling,1F601,fully-qualified,😁,beaming face with smiling eyes,E0.6
Smileys-Emotion,face-smiling,1F606,fully-qualified,😆,grinning squinting face,E0.6
Smileys-Emotion,face-smiling,1F605,fully-qualified,😅,grinning face with sweat,E0.6
Smileys-Emotion,face-smiling,1F923,fully-qualified,🤣,rolling on the floor laughing,E3.0
Smileys-Emotion,face-smiling,1F602,fully-qualified,😂,face with tears of joy,E0.6
Smileys-Emotion,face-smiling,1F642,fully-qualified,🙂,slightly smiling face,E1.0
Smileys-Emotion,face-smiling,1F643,fully-qualified,🙃,upside-down face,E1.0
Smileys-Emotion,face-smiling,1F609,fully-qualified,😉,winking face,E0.6
Smileys-Emotion,face-smiling,1F60A,fully-qualified,😊,smiling face with smiling eyes,E0.6
Smileys-Emotion,face-smiling,1F607,fully-qualified,😇,smiling face with halo,E1.0
Smileys-Emotion,face-affection,1F970,fully-qualified,🥰,smiling face with hearts,E11.0
Smileys-Emotion,face-affection,1F60D,fully-qualified,😍,smiling face with heart-eyes,E0.6
Smileys-Emotion,face-affection,1F929,fully-qualified,🤩,star-struck,E5.0
Smileys-Emotion,face-affection,1F618,fully-qualified,😘,face blowing a kiss,E0.6
Smileys-Emotion,face-affection,1F617,fully-qualified,😗,kissing face,E1.0
Smileys-Emotion,face-affection,263A FE0F,fully-qualified,☺️,smiling face,E0.6
Smileys-Emotion,face-affection,263A,unqualified,☺,smiling face,E0.6
Smileys-Emotion,face-affection,1F61A,fully-qualified,😚,kissing face with closed eyes,E0.6
Smileys-Emotion,face-affection,1F619,fully-qualified,😙,kissing face with smiling eyes,E1.0
Smileys-Emotion,face-affection,1F972,fully-qualified,🥲,smiling face with tear,E13.0
Smileys-Emotion,face-tongue,1F60B,fully-qualified,😋,face savoring food,E0.6
Smileys-Emotion,face-tongue,1F61B,fully-qualified,😛,face with tongue,E1.0
Smileys-Emotion,face-tongue,1F61C,fully-qualified,😜,winking face with tongue,E0.6
Smileys-Emotion,face-tongue,1F92A,fully-qualified,🤪,zany face,E5.0
Smileys-Emotion,face-tongue,1F61D,fully-qualified,😝,squinting face with tongue,E0.6
Smileys-Emotion,face-tongue,1F911,fully-qualified,🤑,money-mouth face,E1.0
Smileys-Emotion,face-hand,1F917,fully-qualified,🤗,smiling face with open hands,E1.0
