Group,Subgroup,CodePoint,Status,Representation,Name,Section
Animals-Nature,animal-mammal,1F435,fully-qualified,🐵,monkey face,E0.6
Animals-Nature,animal-mammal,1F412,fully-qualified,🐒,monkey,E0.6
Animals-Nature,animal-mammal,1F98D,fully-qualified,🦍,gorilla,E3.0
Animals-Nature,animal-mammal,1F9A7,fully-qualified,🦧,orangutan,E12.0
Animals-Nature,animal-mammal,1F436,fully-qualified,🐶,dog face,E0.6
Animals-Nature,animal-mammal,1F415,fully-qualified,🐕,dog,E0.7
Animals-Nature,animal-mammal,1F9AE,fully-qualified,🦮,guide dog,E12.0
Animals-Nature,animal-mammal,1F415 200D 1F9BA,fully-qualified,🐕‍🦺,service dog,E12.0
Animals-Nature,animal-mammal,1F429,fully-qualified,🐩,poodle,E0.6
Animals-Nature,animal-mammal,1F43A,fully-qualified,🐺,wolf,E0.6
Animals-Nature,animal-mammal,1F98A,fully-qualified,🦊,fox,E3.0
Animals-Nature,animal-mammal,1F99D,fully-qualified,🦝,raccoon,E11.0
Animals-Nature,animal-mammal,1F431,fully-qualified,🐱,cat face,E0.6
Animals-Nature,animal-mammal,1F408,fully-qualified,🐈,cat,E0.7
Animals-Nature,animal-mammal,1F408 200D 2B1B,fully-qualified,🐈‍⬛,black cat,E13.0
Animals-Nature,animal-mammal,1F981,fully-qualified,🦁,lion,E1.0
Animals-Nature,animal-mammal,1F42F,fully-qualified,🐯,tiger face,E0.6
Animals-Nature,animal-mammal,1F405,fully-qualified,🐅,tiger,E1.0
Animals-Nature,animal-mammal,1F406,fully-qualified,🐆,leopard,E1.0
Animals-Nature,animal-mammal,1F434,fully-qualified,🐴,horse face,E0.6
Animals-Nature,animal-mammal,1F40E,fully-qualified,🐎,horse,E0.6
Animals-Nature,animal-mammal,1F984,fully-qualified,🦄,unicorn,E1.0
Animals-Nature,animal-mammal,1F993,fully-qualified,🦓,zebra,E5.0
Animals-Nature,animal-mammal,1F98C,fully-qualified,🦌,deer,E3.0
Animals-Nature,animal-mammal,1F9AC,fully-qualified,🦬,bison,E13.0
Animals-Nature,animal-mammal,1F42E,fully-qualified,🐮,cow face,E0.6
Animals-Nature,animal-mammal,1F402,fully-qualified,🐂,ox,E1.0
Animals-Nature,animal-mammal,1F403,fully-qualified,🐃,water buffalo,E1.0
Animals-Nature,animal-mammal,1F404,fully-qualified,🐄,cow,E1.0
Animals-Nature,animal-mammal,1F437,fully-qualified,🐷,pig face,E0.6
Animals-Nature,animal-mammal,1F416,fully-qualified,🐖,pig,E1.0
Animals-Nature,animal-mammal,1F417,fully-qualified,🐗,boar,E0.6
Animals-Nature,animal-mammal,1F43D,fully-qualified,🐽,pig nose,E0.6
Animals-Nature,animal-mammal,1F40F,fully-qualified,🐏,ram,E1.0
