Group,Subgroup,CodePoint,Status,Representation,Name,Section
Food-Drink,food-fruit,1F347,fully-qualified,🍇,grapes,E0.6
Food-Drink,food-fruit,1F348,fully-qualified,🍈,melon,E0.6
Food-Drink,food-fruit,1F349,fully-qualified,🍉,watermelon,E0.6
Food-Drink,food-fruit,1F34A,fully-qualified,🍊,tangerine,E0.6
Food-Drink,food-fruit,1F34B,fully-qualified,🍋,lemon,E1.0
Food-Drink,food-fruit,1F34C,fully-qualified,🍌,banana,E0.6
Food-Drink,food-fruit,1F34D,fully-qualified,🍍,pineapple,E0.6
Food-Drink,food-fruit,1F96D,fully-qualified,🥭,mango,E11.0
Food-Drink,food-fruit,1F34E,fully-qualified,🍎,red apple,E0.6
Food-Drink,food-fruit,1F34F,fully-qualified,🍏,green apple,E0.6
Food-Drink,food-fruit,1F350,fully-qualified,🍐,pear,E1.0
Food-Drink,food-fruit,1F351,fully-qualified,🍑,peach,E0.6
Food-Drink,food-fruit,1F352,fully-qualified,🍒,cherries,E0.6
Food-Drink,food-fruit,1F353,fully-qualified,🍓,strawberry,E0.6
Food-Drink,food-fruit,1FAD0,fully-qualified,🫐,blueberries,E13.0
Food-Drink,food-fruit,1F95D,fully-qualified,🥝,kiwi fruit,E3.0
Food-Drink,food-fruit,1F345,fully-qualified,🍅,tomato,E0.6
Food-Drink,food-fruit,1FAD2,fully-qualified,🫒,olive,E13.0
Food-Drink,food-fruit,1F965,fully-qualified,🥥,coconut,E5.0
Food-Drink,food-vegetable,1F951,fully-qualified,🥑,avocado,E3.0
Food-Drink,food-vegetable,1F346,fully-qualified,🍆,eggplant,E0.6
Food-Drink,food-vegetable,1F954,fully-qualified,🥔,potato,E3.0
Food-Drink,food-vegetable,1F955,fully-qualified,🥕,carrot,E3.0
Food-Drink,food-vegetable,1F33D,fully-qualified,🌽,ear of corn,E0.6
Food-Drink,food-vegetable,1F336 FE0F,fully-qualified,🌶️,hot pepper,E0.7
Food-Drink,food-vegetable,1F336,unqualified,🌶,hot pepper,E0.7
Food-Drink,food-vegetable,1FAD1,fully-qualified,🫑,bell pepper,E13.0
Food-Drink,food-vegetable,1F952,fully-qualified,🥒,cucumber,E3.0
Food-Drink,food-vegetable,1F96C,fully-qualified,🥬,leafy green,E11.0
Food-Drink,food-vegetable,1F966,fully-qualified,🥦,broccoli,E5.0
Food-Drink,food-vegetable,1F9C4,fully-qualified,🧄,garlic,E12.0
Food-Drink,food-vegetable,1F9C5,fully-qualified,🧅,onion,E12.0
Food-Drink,food-vegetable,1F95C,fully-qualified,🥜,peanuts,E3.0
Food-Drink,food-vegetable,1F330,fully-qualified,🌰,chestnut,E0.6
Food-Drink,food-prepared,1F35E,fully-qualified,🍞,bread,E0.6
Food-Drink,food-prepared,1F950,fully-qualified,🥐,croissant,E3.0
Food-Drink,food-prepared,1F956,fully-qualified,🥖,baguette bread,E3.0
Food-Drink,food-prepared,1FAD3,fully-qualified,🫓,flatbread,E13.0
Food-Drink,food-prepared,1F968,fully-qualified,🥨,pretzel,E5.0
Food-Drink,food-prepared,1F96F,fully-qualified,🥯,bagel,E11.0
Food-Drink,food-prepared,1F95E,fully-qualified,🥞,pancakes,E3.0
