Group,Subgroup,CodePoint,Status,Representation,Name,Section
Travel-Places,place-map,1F30D,fully-qualified,🌍,globe showing Europe-Africa,E0.7
Travel-Places,place-map,1F30E,fully-qualified,🌎,globe showing Americas,E0.7
Travel-Places,place-map,1F30F,fully-qualified,🌏,globe showing Asia-Australia,E0.6
Travel-Places,place-map,1F310,fully-qualified,🌐,globe with meridians,E1.0
Travel-Places,place-map,1F5FA FE0F,fully-qualified,🗺️,world map,E0.7
Travel-Places,place-map,1F5FA,unqualified,🗺,world map,E0.7
Travel-Places,place-map,1F5FE,fully-qualified,🗾,map of Japan,E0.6
Travel-Places,place-map,1F9ED,fully-qualified,🧭,compass,E11.0
Travel-Places,place-geographic,1F3D4 FE0F,fully-qualified,🏔️,snow-capped mountain,E0.7
Travel-Places,place-geographic,1F3D4,unqualified,🏔,snow-capped mountain,E0.7
Travel-Places,place-geographic,26F0 FE0F,fully-qualified,⛰️,mountain,E0.7
Travel-Places,place-geographic,26F0,unqualified,⛰,mountain,E0.7
Travel-Places,place-geographic,1F30B,fully-qualified,🌋,volcano,E0.6
Travel-Places,place-geographic,1F5FB,fully-qualified,🗻,mount fuji,E0.6
Travel-Places,place-geographic,1F3D5 FE0F,fully-qualified,🏕️,camping,E0.7
Travel-Places,place-geographic,1F3D5,unqualified,🏕,camping,E0.7
Travel-Places,place-geographic,1F3D6 FE0F,fully-qualified,🏖️,beach with umbrella,E0.7
Travel-Places,place-geographic,1F3D6,unqualified,🏖,beach with umbrella,E0.7
Travel-Places,place-geographic,1F3DC FE0F,fully-qualified,🏜️,desert,E0.7
Travel-Places,place-geographic,1F3DC,unqualified,🏜,desert,E0.7
Travel-Places,place-geographic,1F3DD FE0F,fully-qualified,🏝️,desert island,E0.7
Travel-Places,place-geographic,1F3DD,unqualified,🏝,desert island,E0.7
Travel-Places,place-geographic,1F3DE FE0F,fully-qualified,🏞️,national park,E0.7
Travel-Places,place-geographic,1F3DE,unqualified,🏞,national park,E0.7
Travel-Places,place-building,1F3DF FE0F,fully-qualified,🏟️,stadium,E0.7
Travel-Places,place-building,1F3DF,unqualified,🏟,stadium,E0.7
Travel-Places,place-building,1F3DB FE0F,fully-qualified,🏛️,classical building,E0.7
