Group,Subgroup,CodePoint,Status,Representation,Name,Section
Objects,clothing,1F453,fully-qualified,👓,glasses,E0.6
Objects,clothing,1F576 FE0F,fully-qualified,🕶️,sunglasses,E0.7
Objects,clothing,1F576,unqualified,🕶,sunglasses,E0.7
Objects,clothing,1F97D,fully-qualified,🥽,goggles,E11.0
Objects,clothing,1F97C,fully-qualified,🥼,lab coat,E11.0
Objects,clothing,1F9BA,fully-qualified,🦺,safety vest,E12.0
Objects,clothing,1F454,fully-qualified,👔,necktie,E0.6
Objects,clothing,1F455,fully-qualified,👕,t-shirt,E0.6
Objects,clothing,1F456,fully-qualified,👖,jeans,E0.6
Objects,clothing,1F9E3,fully-qualified,🧣,scarf,E5.0
Objects,clothing,1F9E4,fully-qualified,🧤,gloves,E5.0
Objects,clothing,1F9E5,fully-qualified,🧥,coat,E5.0
Objects,clothing,1F9E6,fully-qualified,🧦,socks,E5.0
Objects,clothing,1F457,fully-qualified,👗,dress,E0.6
Objects,clothing,1F458,fully-qualified,👘,kimono,E0.6
Objects,clothing,1F97B,fully-qualified,🥻,sari,E12.0
Objects,clothing,1FA71,fully-qualified,🩱,one-piece swimsuit,E12.0
Objects,clothing,1FA72,fully-qualified,🩲,briefs,E12.0
Objects,clothing,1FA73,fully-qualified,🩳,shorts,E12.0
Objects,clothing,1F459,fully-qualified,👙,bikini,E0.6
Objects,clothing,1F45A,fully-qualified,👚,womans clothes,E0.6
Objects,clothing,1F45B,fully-qualified,👛,purse,E0.6
Objects,clothing,1F45C,fully-qualified,👜,handbag,E0.6
Objects,clothing,1F45D,fully-qualified,👝,clutch bag,E0.6
Objects,clothing,1F6CD FE0F,fully-qualified,🛍️,shopping bags,E0.7
Objects,clothing,1F6CD,unqualified,🛍,shopping bags,E0.7
Objects,clothing,1F392,fully-qualified,🎒,backpack,E0.6
Objects,clothing,1FA74,fully-qualified,🩴,thong sandal,E13.0
Objects,clothing,1F45E,fully-qualified,👞,mans shoe,E0.6
Objects,clothing,1F45F,fully-qualified,👟,running shoe,E0.6
Objects,clothing,1F97E,fully-qualified,🥾,hiking boot,E11.0
Objects,clothing,1F97F,fully-qualified,🥿,flat shoe,E11.0
Objects,clothing,1F460,fully-qualified,👠,high-heeled shoe,E0.6
Objects,clothing,1F461,fully-qualified,👡,womans sandal,E0.6
Objects,clothing,1FA70,fully-qualified,🩰,ballet shoes,E12.0
Objects,clothing,1F462,fully-qualified,👢,womans boot,E0.6
Objects,clothing,1F451,fully-qualified,👑,crown,E0.6
Objects,clothing,1F452,fully-qualified,👒,womans hat,E0.6
Objects,clothing,1F3A9,fully-qualified,🎩,top hat,E0.6
Objects,clothing,1F393,fully-qualified,🎓,graduation cap,E0.6
Objects,clothing,1F9E2,fully-qualified,🧢,billed cap,E5.0
Objects,clothing,1FA96,fully-qualified,🪖,military helmet,E13.0
Objects,clothing,26D1 FE0F,fully-qualified,⛑️,rescue workers helmet,E0.7
Objects,clothing,26D1,unqualified,⛑,rescue workers helmet,E0.7
Objects,clothing,1F4FF,fully-qualified,📿,prayer beads,E1.0
Objects,clothing,1F484,fully-qualified,💄,lipstick,E0.6
Objects,clothing,1F48D,fully-qualified,💍,ring,E0.6
Objects,clothing,1F48E,fully-qualified,💎,gem stone,E0.6
Objects,sound,1F507,fully-qualified,🔇,muted speaker,E1.0
Objects,sound,1F508,fully-qualified,🔈,speaker low volume,E0.7
Objects,sound,1F509,fully-qualified,🔉,speaker medium volume,E1.0
Objects,sound,1F50A,fully-qualified,🔊,speaker high volume,E0.6
Objects,sound,1F4E2,fully-qualified,📢,loudspeaker,E0.6
Objects,sound,1F4E3,fully-qualified,📣,megaphone,E0.6
Objects,sound,1F4EF,fully-qualified,📯,postal horn,E1.0
Objects,sound,1F514,fully-qualified,🔔,bell,E0.6
Objects,sound,1F515,fully-qualified,🔕,bell with slash,E1.0
Objects,music,1F3BC,fully-qualified,🎼,musical score,E0.6
Objects,music,1F3B5,fully-qualified,🎵,musical note,E0.6
Objects,music,1F3B6,fully-qualified,🎶,musical notes,E0.6
Objects,music,1F399 FE0F,fully-qualified,🎙️,studio microphone,E0.7
Objects,music,1F399,unqualified,🎙,studio microphone,E0.7
Objects,music,1F39A FE0F,fully-qualified,🎚️,level slider,E0.7
Objects,music,1F39A,unqualified,🎚,level slider,E0.7
Objects,music,1F39B FE0F,fully-qualified,🎛️,control knobs,E0.7
Objects,music,1F39B,unqualified,🎛,control knobs,E0.7
Objects,music,1F3A4,fully-qualified,🎤,microphone,E0.6
Objects,music,1F3A7,fully-qualified,🎧,headphone,E0.6
Objects,music,1F4FB,fully-qualified,📻,radio,E0.6
Objects,musical-instrument,1F3B7,fully-qualified,🎷,saxophone,E0.6
Objects,musical-instrument,1FA97,fully-qualified,🪗,accordion,E13.0
Objects,musical-instrument,1F3B8,fully-qualified,🎸,guitar,E0.6
Objects,musical-instrument,1F3B9,fully-qualified,🎹,musical keyboard,E0.6
Objects,musical-instrument,1F3BA,fully-qualified,🎺,trumpet,E0.6
Objects,musical-instrument,1F3BB,fully-qualified,🎻,violin,E0.6
Objects,musical-instrument,1FA95,fully-qualified,🪕,banjo,E12.0
Objects,musical-instrument,1F941,fully-qualified,🥁,drum,E3.0
Objects,musical-instrument,1FA98,fully-qualified,🪘,long drum,E13.0
Objects,phone,1F4F1,fully-qualified,📱,mobile phone,E0.6
Objects,phone,1F4F2,fully-qualified,📲,mobile phone with arrow,E0.6
Objects,phone,260E FE0F,fully-qualified,☎️,telephone,E0.6
Objects,phone,260E,unqualified,☎,telephone,E0.6
Objects,phone,1F4DE,fully-qualified,📞,telephone receiver,E0.6
Objects,phone,1F4DF,fully-qualified,📟,pager,E0.6
Objects,phone,1F4E0,fully-qualified,📠,fax machine,E0.6
Objects,computer,1F50B,fully-qualified,🔋,battery,E0.6
Objects,computer,1F50C,fully-qualified,🔌,electric plug,E0.6
Objects,computer,1F4BB,fully-qualified,💻,laptop,E0.6
Objects,computer,1F5A5 FE0F,fully-qualified,🖥️,desktop computer,E0.7
Objects,computer,1F5A5,unqualified,🖥,desktop computer,E0.7
Objects,computer,1F5A8 FE0F,fully-qualified,🖨️,printer,E0.7
Objects,computer,1F5A8,unqualified,🖨,printer,E0.7
Objects,computer,2328 FE0F,fully-qualified,⌨️,keyboard,E1.0
Objects,computer,2328,unqualified,⌨,keyboard,E1.0
Objects,computer,1F5B1 FE0F,fully-qualified,🖱️,computer mouse,E0.7
Objects,computer,1F5B1,unqualified,🖱,computer mouse,E0.7
Objects,computer,1F5B2 FE0F,fully-qualified,🖲️,trackball,E0.7
Objects,computer,1F5B2,unqualified,🖲,trackball,E0.7
Objects,computer,1F4BD,fully-qualified,💽,computer disk,E0.6
Objects,computer,1F4BE,fully-qualified,💾,floppy disk,E0.6
Objects,computer,1F4BF,fully-qualified,💿,optical disk,E0.6
Objects,computer,1F4C0,fully-qualified,📀,dvd,E0.6
Objects,computer,1F9EE,fully-qualified,🧮,abacus,E11.0
