Group,Subgroup,CodePoint,Status,Representation,Name,Section
Flags,flag,1F3C1,fully-qualified,🏁,chequered flag,E0.6
Flags,flag,1F6A9,fully-qualified,🚩,triangular flag,E0.6
Flags,flag,1F38C,fully-qualified,🎌,crossed flags,E0.6
Flags,flag,1F3F4,fully-qualified,🏴,black flag,E1.0
Flags,flag,1F3F3 FE0F,fully-qualified,🏳️,white flag,E0.7
Flags,flag,1F3F3,unqualified,🏳,white flag,E0.7
Flags,flag,1F3F3 FE0F 200D 1F308,fully-qualified,🏳️‍🌈,rainbow flag,E4.0
Flags,flag,1F3F3 200D 1F308,unqualified,🏳‍🌈,rainbow flag,E4.0
Flags,flag,1F3F3 FE0F 200D 26A7 FE0F,fully-qualified,🏳️‍⚧️,transgender flag,E13.0
Flags,flag,1F3F3 200D 26A7 FE0F,unqualified,🏳‍⚧️,transgender flag,E13.0
Flags,flag,1F3F3 FE0F 200D 26A7,minimally-qualified,🏳️‍⚧,transgender flag,E13.0
Flags,flag,1F3F3 200D 26A7,unqualified,🏳‍⚧,transgender flag,E13.0
Flags,flag,1F3F4 200D 2620 FE0F,fully-qualified,🏴‍☠️,pirate flag,E11.0
Flags,flag,1F3F4 200D 2620,minimally-qualified,🏴‍☠,pirate flag,E11.0
Flags,country-flag,1F1E6 1F1E8,fully-qualified,🇦🇨,flag Ascension Island,E2.0
Flags,country-flag,1F1E6 1F1E9,fully-qualified,🇦🇩,flag Andorra,E2.0
Flags,country-flag,1F1E6 1F1EA,fully-qualified,🇦🇪,flag United Arab Emirates,E2.0
Flags,country-flag,1F1E6 1F1EB,fully-qualified,🇦🇫,flag Afghanistan,E2.0
Flags,country-flag,1F1E6 1F1EC,fully-qualified,🇦🇬,flag Antigua  Barbuda,E2.0
Flags,country-flag,1F1E6 1F1EE,fully-qualified,🇦🇮,flag Anguilla,E2.0
Flags,country-flag,1F1E6 1F1F1,fully-qualified,🇦🇱,flag Albania,E2.0
Flags,country-flag,1F1E6 1F1F2,fully-qualified,🇦🇲,flag Armenia,E2.0
Flags,country-flag,1F1E6 1F1F4,fully-qualified,🇦🇴,flag Angola,E2.0
Flags,country-flag,1F1E6 1F1F6,fully-qualified,🇦🇶,flag Antarctica,E2.0
Flags,country-flag,1F1E6 1F1F7,fully-qualified,🇦🇷,flag Argentina,E2.0
Flags,country-flag,1F1E6 1F1F8,fully-qualified,🇦🇸,flag American Samoa,E2.0
Flags,country-flag,1F1E6 1F1F9,fully-qualified,🇦🇹,flag Austria,E2.0
Flags,country-flag,1F1E6 1F1FA,fully-qualified,🇦🇺,flag Australia,E2.0
Flags,country-flag,1F1E6 1F1FC,fully-qualified,🇦🇼,flag Aruba,E2.0
Flags,country-flag,1F1E6 1F1FD,fully-qualified,🇦🇽,flag land Islands,E2.0
Flags,country-flag,1F1E6 1F1FF,fully-qualified,🇦🇿,flag Azerbaijan,E2.0
Flags,country-flag,1F1E7 1F1E6,fully-qualified,🇧🇦,flag Bosnia  Herzegovina,E2.0
Flags,country-flag,1F1E7 1F1E7,fully-qualified,🇧🇧,flag Barbados,E2.0
Flags,country-flag,1F1E7 1F1E9,fully-qualified,🇧🇩,flag Bangladesh,E2.0
Flags,country-flag,1F1E7 1F1EA,fully-qualified,🇧🇪,flag Belgium,E2.0
Flags,country-flag,1F1E7 1F1EB,fully-qualified,🇧🇫,flag Burkina Faso,E2.0
Flags,country-flag,1F1E7 1F1EC,fully-qualified,🇧🇬,flag Bulgaria,E2.0
Flags,country-flag,1F1E7 1F1ED,fully-qualified,🇧🇭,flag Bahrain,E2.0
Flags,country-flag,1F1E7 1F1EE,fully-qualified,🇧🇮,flag Burundi,E2.0
Flags,country-flag,1F1E7 1F1EF,fully-qualified,🇧🇯,flag Benin,E2.0
Flags,country-flag,1F1E7 1F1F1,fully-qualified,🇧🇱,flag St Barthlemy,E2.0
Flags,country-flag,1F1E7 1F1F2,fully-qualified,🇧🇲,flag Bermuda,E2.0
Flags,country-flag,1F1E7 1F1F3,fully-qualified,🇧🇳,flag Brunei,E2.0
Flags,country-flag,1F1E7 1F1F4,fully-qualified,🇧🇴,flag Bolivia,E2.0
Flags,country-flag,1F1E7 1F1F6,fully-qualified,🇧🇶,flag Caribbean Netherlands,E2.0
Flags,country-flag,1F1E7 1F1F7,fully-qualified,🇧🇷,flag Brazil,E2.0
Flags,country-flag,1F1E7 1F1F8,fully-qualified,🇧🇸,flag Bahamas,E2.0
Flags,country-flag,1F1E7 1F1F9,fully-qualified,🇧🇹,flag Bhutan,E2.0
Flags,country-flag,1F1E7 1F1FB,fully-qualified,🇧🇻,flag Bouvet Island,E2.0
Flags,country-flag,1F1E7 1F1FC,fully-qualified,🇧🇼,flag Botswana,E2.0
Flags,country-flag,1F1E7 1F1FE,fully-qualified,🇧🇾,flag Belarus,E2.0
Flags,country-flag,1F1E7 1F1FF,fully-qualified,🇧🇿,flag Belize,E2.0
Flags,country-flag,1F1E8 1F1E6,fully-qualified,🇨🇦,flag Canada,E2.0
Flags,country-flag,1F1E8 1F1E8,fully-qualified,🇨🇨,flag Cocos Keeling Islands,E2.0
Flags,country-flag,1F1E8 1F1E9,fully-qualified,🇨🇩,flag Congo - Kinshasa,E2.0
Flags,country-flag,1F1E8 1F1EB,fully-qualified,🇨🇫,flag Central African Republic,E2.0
Flags,country-flag,1F1E8 1F1EC,fully-qualified,🇨🇬,flag Congo - Brazzaville,E2.0
Flags,country-flag,1F1E8 1F1ED,fully-qualified,🇨🇭,flag Switzerland,E2.0
