ISO639-1 code,Name
ab,аҧсуа бызшәа
aa,Qafár af
af,Afrikaans
ak,Akan
sq,Gjuha shqipe
am,አማርኛ
ar,العربية
an,aragonés
hy,Հայերեն
as,অসমীয়া
av,Авар мацӀ
ae,avesta
ay,Aymar aru
az,Azərbaycan dili
bm,bamanankan
ba,башҡорт теле
eu,euskara
be,беларуская мова
bn,বাংলা
bh,भोजपुरी
bi,Bislama
bs,bosanski jezik
br,brezhoneg
bg,български език
my,မြန်မာဘာသာ
ca,català
ch,Fino' Chamoru
ce,нохчийн мотт
ny,Chicheŵa
zh,中文
cv,Чăвашла
kw,Kernowek
co,corsu
cr,ᓀᐦᐃᔭᐍᐏᐣ
hr,hrvatski
cs,čeština
da,dansk
dv,ދިވެހި
nl,Nederlands
dz,རྫོང་ཁ
en,English
eo,Esperanto
et,eesti keel
ee,Eʋegbe
fo,føroyskt
fj,Na vosa vaka-Viti
fi,suomi
fr,français
ff,Fulfulde
gl,galego
ka,ქართული
de,Deutsch
el,ελληνικά
gn,avañe'ẽ
gu,ગુજરાતી
ht,Kreyòl ayisyen
ha,هَوُسَ
he,עברית
hz,Otjiherero
hi,हिन्दी
ho,Hiri Motu
hu,magyar
ia,Interlingua
id,Bahasa Indonesia
ie,Interlingue
ga,Gaeilge
ig,asụsụ Igbo
ik,Iñupiaq
io,Ido
is,íslenska
it,Italiano
iu,ᐃᓄᒃᑎᑐᑦ
ja,日本語
jv,Basa Jawa
kl,kalaallisut
kn,ಕನ್ನಡ
kr,Kanuri
ks,कॉशुर
kk,Қазақ тілі
km,ភាសាខ្មែរ
ki,Gĩkũyũ
rw,Kinyarwanda
ky,Кыргызча
kv,Коми
kg,Kikongo
ko,한국어
ku,Kurumancî
kj,Oshikwanyama
la,latina
lb,Lëtzebuergesch
lg,Luganda
li,Limburgs
ln,Lingála
lo,ພາສາລາວ
lt,lietuvių
lu,Kiluba
lv,latviešu
gv,Gaelg
mk,македонски јазик
mg,Malagasy
ms,bahasa Melayu
ml,മലയാളം
mt,Malti
mi,reo Māori
mr,मराठी
mh,Kajin M̧ajeļ
mn,Монгол хэл
na,dorerin Naoero
nv,Diné bizaad
nb,norsk bokmål
nd,isiNdebele
ne,नेपाली भाषा
ng,Owambo
nn,norsk nynorsk
no,norsk
ii,ꆈꌠ꒿
nr,isiNdebele
oc,occitan
oj,ᐊᓂᔑᓈᐯᒧᐎᓐ
cu,ѩзыкъ словѣньскъ
om,Afaan Oromoo
or,ଓଡ଼ିଆ
os,ирон æвзаг
pa,ਪੰਜਾਬੀ
pi,पालि
fa,فارسی
pl,Polski
ps,پښتو
pt,português
qu,runa simi
rm,rumantsch
rn,Ikirundi
ro,Română
ru,русский язык
sa,संस्कृतम्
sc,sardu
sd,सिन्धी
se,davvisámegiella
sm,Gagana fa'a Sāmoa
sg,sängö
sr,"српски језик,
srpski jezik"
gd,Gàidhlig
sn,chiShona
si,සිංහල
sk,slovenčina
sl,slovenščina
so,af Soomaali
st,Sesotho
es,español
su,Basa Sunda
sw,Kiswahili
ss,siSwati
sv,svenska
ta,தமிழ்
te,తెలుగు
tg,тоҷикӣ
th,ภาษาไทย
ti,ትግርኛ
bo,བོད་ཡིག
tk,Türkmen
tl,Wikang Tagalog
tn,Setswana
to,lea faka-Tonga
tr,Türkçe
ts,Xitsonga
tt,татар теле
tw,Twi
ty,reo Tahiti
ug,ئۇيغۇرچە
uk,українська мова
ur,اردو
uz,Ўзбек
ve,TshiVenḓa
vi,Tiếng Việt
vo,Volapük
wa,walon
cy,Cymraeg
wo,Wolof
fy,Frysk
xh,isiXhosa
yi,ייִדיש
yo,èdè Yorùbá
za,Vahcuengh
zu,isiZulu
